Record ID,Division,SectionID,PWI,OHEMas,TRDFeature,EngFeature,Remark ,Remark ,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
251,ADI,GNC-KLL,,004/14,,,,,23.24486,72.54217,23.19528,,,6,03-06-2018 12:11
252,ADI,GNC-KLL,,004/13,,,,,23.24453,72.5416,23.07336,,,10,03-06-2018 12:12
253,ADI,GNC-KLL,,004/12,,,,,23.24423,72.54104,23.68296,,,9,03-06-2018 12:13
254,ADI,GNC-KLL,,004/11,,,,,23.24394,72.54052,23.07336,,,10,03-06-2018 12:14
255,ADI,GNC-KLL,,004/10,ATD,,,,23.24361,72.53996,22.67712,,,9,03-06-2018 12:15
256,ADI,GNC-KLL,,004/9,UIOL,,,,23.24328,72.5394,22.58568,,,11,03-06-2018 12:17
257,ADI,GNC-KLL,,004/8,UIOL,,,,23.24297,72.53887,22.58568,,,9,03-06-2018 12:18
258,ADI,GNC-KLL,,004/7,ATD,,,,23.24264,72.5383,22.76856,,,9,03-06-2018 12:19
259,ADI,GNC-KLL,,004/6,,,,,23.24234,72.53774,22.61616,,,8,03-06-2018 12:20
260,ADI,GNC-KLL,,004/5,,,,,23.24204,72.53723,21.336,,,6,03-06-2018 12:22
261,ADI,GNC-KLL,,004/4,,,,,23.24171,72.53664,21.82368,,,8,03-06-2018 12:23
262,ADI,GNC-KLL,,004/3,,,,,23.24141,72.53614,21.9456,,,9,03-06-2018 12:24
263,ADI,GNC-KLL,,004/2,,,,,23.24106,72.53557,21.61032,,,10,03-06-2018 12:25
264,ADI,GNC-KLL,,004/1,,,,,23.24077,72.53502,23.37816,,,8,03-06-2018 12:27
265,ADI,GNC-KLL,,003/15,ACA,,,,23.24046,72.53449,23.50008,,,9,03-06-2018 12:28
266,ADI,GNC-KLL,,003/14,ACC,,,,23.24016,72.53393,23.10384,,,8,03-06-2018 12:29
267,ADI,GNC-KLL,,003/13,ACA,LC NO 2,,,23.23986,72.53343,23.98776,,,10,03-06-2018 12:30
268,ADI,GNC-KLL,,003/12,,,,,23.23958,72.5329,24.01824,,,9,03-06-2018 12:37
269,ADI,GNC-KLL,,003/11,,,,,23.23924,72.53234,23.07336,,,10,03-06-2018 12:40
270,ADI,GNC-KLL,,003/10,,,,,23.23894,72.53183,22.82952,,,9,03-06-2018 12:41
271,ADI,GNC-KLL,,003/9,,,,,23.23862,72.53123,22.89048,,,10,03-06-2018 12:42
272,ADI,GNC-KLL,,003/8,,,,,23.23831,72.53072,24.41448,,,8,03-06-2018 12:43
273,ADI,GNC-KLL,,003/7,,,,,23.23798,72.53014,22.46376,,,9,03-06-2018 12:44
274,ADI,GNC-KLL,,003/6,ATD,,,,23.23766,72.52958,21.97608,,,10,03-06-2018 12:46
275,ADI,GNC-KLL,,003/5,UIOL,,,,23.23736,72.52906,22.12848,,,9,03-06-2018 12:47
276,ADI,GNC-KLL,,003/4,UIOL,,,,23.23702,72.5285,21.42744,,,9,03-06-2018 12:48
277,ADI,GNC-KLL,,003/3,ATD,,,,23.23673,72.52799,21.51888,,,9,03-06-2018 12:49
278,ADI,GNC-KLL,,003/2,,,,,23.23642,72.52743,21.70176,,,10,03-06-2018 12:50
279,ADI,GNC-KLL,,003/1,,,,,23.23609,72.52687,21.73224,,,9,03-06-2018 12:52
280,ADI,GNC-KLL,,002/18,,,,,23.2358,72.52632,22.03704,,,9,03-06-2018 12:53
281,ADI,GNC-KLL,,002/17,,,,,23.23548,72.52576,22.15896,,,9,03-06-2018 12:55
282,ADI,GNC-KLL,,002/16,ACA,,,,23.23517,72.5252,21.57984,,,10,03-06-2018 12:56
283,ADI,GNC-KLL,,002/15,ACC,,,,23.23486,72.52468,22.37232,,,10,03-06-2018 12:58
284,ADI,GNC-KLL,,002/14,ACA,,,,23.23461,72.52417,21.7932,,,9,03-06-2018 12:59
285,ADI,GNC-KLL,,002/13,,,,,23.23437,72.52373,21.39696,,,10,03-06-2018 13:00
286,ADI,GNC-KLL,,002/12,,,,,23.23414,72.52319,22.73808,,,9,03-06-2018 13:01
287,ADI,GNC-KLL,,002/11,,,,,23.23396,72.52271,21.1836,,,10,03-06-2018 13:02
288,ADI,GNC-KLL,,002/10,,,,,23.23378,72.52218,21.336,,,9,03-06-2018 13:03
289,ADI,GNC-KLL,,002/9,,,,,23.23363,72.52169,20.36064,,,10,03-06-2018 13:04
290,ADI,GNC-KLL,,002/8,,,,,23.23347,72.52113,20.2692,,,10,03-06-2018 13:05
291,ADI,GNC-KLL,,002/7,,,,,23.23335,72.52058,20.33016,,,10,03-06-2018 13:06
292,ADI,GNC-KLL,,002/6,,,,,23.23325,72.5201,18.19656,,,10,03-06-2018 13:07
293,ADI,GNC-KLL,,002/5,,,,,23.23319,72.51962,19.47672,,,10,03-06-2018 13:08
294,ADI,GNC-KLL,,002/4,ATD,,,,23.23313,72.51911,21.27504,,,7,03-06-2018 13:09
295,ADI,GNC-KLL,,002/3,UIOL,,,,23.23311,72.51868,20.60448,,,9,03-06-2018 13:10
296,ADI,GNC-KLL,,002/2,UIOL,,,,23.23311,72.51822,19.2024,,,10,03-06-2018 13:11
297,ADI,GNC-KLL,,002/1,UIOL,,,,23.23307,72.51772,16.85544,,,9,03-06-2018 13:13
298,ADI,GNC-KLL,,001/17,ATD,LC NO 1,,,23.23308,72.51716,20.81784,,,10,03-06-2018 13:14
299,ADI,GNC-KLL,,001/16,,,,,23.23316,72.51662,17.92224,,,10,03-06-2018 13:28
300,ADI,GNC-KLL,,001/15,,,,,23.23323,72.51613,17.00784,,,11,03-06-2018 13:29
301,ADI,GNC-KLL,,001/14,,,,,23.2333,72.51556,16.58112,,,11,03-06-2018 13:31
302,ADI,GNC-KLL,,001/13,,,,,23.23342,72.51503,15.24,,,8,03-06-2018 13:32
303,ADI,GNC-KLL,,001/12,,,,,23.23351,72.51448,17.19072,,,11,03-06-2018 13:33
304,ADI,GNC-KLL,,001/11,ACA,,,,23.23365,72.51392,19.17192,,,10,03-06-2018 13:34
305,ADI,GNC-KLL,,001/10,ACC,,,,23.2338,72.5134,18.22704,,,10,03-06-2018 13:35
306,ADI,GNC-KLL,,001/9,ACA,,,,23.23398,72.51288,16.73352,,,11,03-06-2018 13:36
307,ADI,GNC-KLL,,001/8,,,,,23.23418,72.51236,16.73352,,,7,03-06-2018 13:37
308,ADI,GNC-KLL,,001/7,,,,,23.23442,72.51184,15.66672,,,10,03-06-2018 13:38
309,ADI,GNC-KLL,,001/6,,,,,23.2346,72.51138,19.26336,,,10,03-06-2018 13:39
310,ADI,GNC-KLL,,001/5,,,,,23.23483,72.5108,22.15896,,,11,03-06-2018 13:40
311,ADI,GNC-KLL,,001/4,,,,,23.2351,72.51034,21.09216,,,11,03-06-2018 13:41
312,ADI,GNC-KLL,,001/3,ATD,,,,23.23542,72.50987,20.574,,,11,03-06-2018 13:42
313,ADI,GNC-KLL,,001/2,IOL,,,,23.2357,72.50945,21.6408,,,11,03-06-2018 13:43
314,ADI,GNC-KLL,,001/1,IOL ,,,,23.23601,72.50906,22.67712,,,11,03-06-2018 13:44
315,ADI,GNC-KLL,,KLL/1061,IOL/SM 243,,,,23.23635,72.50858,23.04288,,,11,03-06-2018 13:51
316,ADI,GNC-KLL,,KLL/1059,ATD,,,,23.23674,72.50814,20.36064,,,11,03-06-2018 13:52
317,ADI,GNC-KLL,,KLL/1057,,,,,23.23702,72.5078,20.93976,,,11,03-06-2018 13:53
318,ADI,GNC-KLL,,KLL/1055,,,,,23.23734,72.50746,20.7264,,,9,03-06-2018 13:54
319,ADI,GNC-KLL,,KLL/1053,,,,,23.23761,72.50714,21.76272,,,10,03-06-2018 13:55
320,ADI,GNC-KLL,,KLL/1051,,,,,23.23784,72.50688,21.21408,,,11,03-06-2018 13:56
321,ADI,GNC-KLL,,KLL/1049,,,,,23.2381,72.50669,22.21992,,,11,03-06-2018 13:57
322,ADI,GNC-KLL,,KLL/1047,,,,,23.23836,72.50651,23.50008,,,11,03-06-2018 13:58
323,ADI,GNC-KLL,,KLL/1045,,,,,23.23865,72.50632,22.12848,,,10,03-06-2018 13:58
324,ADI,GNC-KLL,,KLL/1043,,,,,23.23894,72.50618,22.37232,,,11,03-06-2018 13:59
325,ADI,GNC-KLL,,KLL/1041,,,,,23.2394,72.50595,21.54936,,,11,03-06-2018 14:00
326,ADI,GNC-KLL,,KLL/1039,,,,,23.23989,72.50571,21.45792,,,10,03-06-2018 14:01
